23 July (predicting logR),,,,,,,,,,24 July (predicting logR/S),,,,,,,,,,Get same answers to 3 decimal points!,
,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,,Estimate,Std..Error,Param,Stocknumber,Name,ar,Round Estimate,Round SD,,Check Estimate,Check SE
122,2.318382949,0.316338116,SREP,5,Keta,TRUE,2.318,0.316,,122,2.318382607,0.316337874,SREP,5,Keta,TRUE,2.318,0.316,,,
123,1.929761715,0.306882514,SREP,6,Blossom,TRUE,1.93,0.307,,123,1.92976194,0.306882597,SREP,6,Blossom,TRUE,1.93,0.307,,,
124,2.081797651,0.403248167,SREP,10,Situk,TRUE,2.082,0.403,,124,2.081800277,0.403251248,SREP,10,Situk,TRUE,2.082,0.403,,,
125,8.254962986,0.836153773,SREP,11,Siletz,TRUE,8.255,0.836,,125,8.25496155,0.836154014,SREP,11,Siletz,TRUE,8.255,0.836,,,
126,1.275308277,0.098383021,SREP,16,Columbia Sp,TRUE,1.275,0.098,,126,1.275306629,0.098382427,SREP,16,Columbia Sp,TRUE,1.275,0.098,,,
127,2.565012519,0.466488577,logA,23,Cowichan,FALSE,2.565,0.466,,127,2.565004511,0.466489575,logA,23,Cowichan,FALSE,2.565,0.466,,,
128,0.274781012,0.443339035,logB,23,Cowichan,FALSE,0.275,0.443,,128,0.274771766,0.443345285,logB,23,Cowichan,FALSE,0.275,0.443,,,
129,-0.393046212,0.188982269,logSigma,23,Cowichan,FALSE,-0.393,0.189,,129,-0.393046452,0.188982224,logSigma,23,Cowichan,FALSE,-0.393,0.189,,,
130,0.265047043,0.107636965,gamma,23,Cowichan,FALSE,0.265,0.108,,130,0.265047133,0.107636978,gamma,23,Cowichan,FALSE,0.265,0.108,,,
131,0.626449319,0.244654304,SMSY,23,Cowichan,FALSE,0.626,0.245,,131,0.626454203,0.244659689,SMSY,23,Cowichan,FALSE,0.626,0.245,,,
132,1.948738709,0.673494884,SREP,23,Cowichan,FALSE,1.949,0.673,,132,1.948750643,0.673508757,SREP,23,Cowichan,FALSE,1.949,0.674,,,
